NAMES: Make sure the line number at which the name of this phone is located in this file is the same number that contains the phone properties.
Samsung Galaxy S10
Apple iPhone 11 Pro
OnePlus 7T Pro
Huawei Mate 30 Pro
Samsung Galaxy Note10+
Samsung Galaxy Note10
Samsung Galaxy S10+
Samsung Galaxy S10e
OnePlus 7T
Apple iPhone 11 Pro Max
Apple iPhone 11
Google Pixel 4 XL
Google Pixel 4
Google Pixel 3a XL
Google Pixel 3a
Asus ROG Phone II
Asus Zenfone 6
Xiaomi Note 10 Pro
Xiaomi Note 10
Samsung Galaxy Fold
Huawei Mate X
